IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.201.189.130,2087,0,false,ORD,North America,Chicago,52,0.00
15.207.109.76,2086,0,false,ORD,North America,Chicago,52,0.00
13.201.186.213,2096,0,false,ORD,North America,Chicago,52,0.00
13.201.186.213,2095,0,false,ORD,North America,Chicago,52,0.00
52.66.244.40,8880,0,false,ORD,North America,Chicago,52,0.00
15.207.19.227,2087,0,false,ORD,North America,Chicago,53,0.00
13.201.186.213,2086,0,false,ORD,North America,Chicago,53,0.00
3.110.194.22,2083,0,false,ORD,North America,Chicago,53,0.00
15.207.114.100,2095,0,false,ORD,North America,Chicago,53,0.00
13.201.19.223,2082,0,false,ORD,North America,Chicago,53,0.00
3.110.176.176,2083,0,false,ORD,North America,Chicago,53,0.00
13.200.242.141,2086,0,false,ORD,North America,Chicago,53,0.00
15.207.19.227,2096,0,false,ORD,North America,Chicago,54,0.00
52.66.237.70,8443,0,false,ORD,North America,Chicago,54,0.00
52.66.244.40,80,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,2052,0,false,ORD,North America,Chicago,55,0.00
15.207.19.227,8443,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,8080,0,false,ORD,North America,Chicago,55,0.00
65.1.3.139,2086,0,false,ORD,North America,Chicago,55,0.00
3.7.254.196,8443,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,2087,0,false,ORD,North America,Chicago,55,0.00
13.127.98.209,8080,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,80,0,false,ORD,North America,Chicago,55,0.00
13.200.242.141,2096,0,false,ORD,North America,Chicago,55,0.00
13.201.186.213,2082,0,false,ORD,North America,Chicago,55,0.00
15.207.19.227,2082,0,false,ORD,North America,Chicago,55,0.00
13.201.134.21,2096,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,2096,0,false,ORD,North America,Chicago,55,0.00
43.204.108.56,2083,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,2053,0,false,ORD,North America,Chicago,55,0.00
15.207.19.227,80,0,false,ORD,North America,Chicago,55,0.00
13.200.242.141,2083,0,false,ORD,North America,Chicago,55,0.00
15.207.19.227,2052,0,false,ORD,North America,Chicago,55,0.00
52.66.248.236,8080,0,false,ORD,North America,Chicago,55,0.00
52.66.244.40,8080,0,false,ORD,North America,Chicago,55,0.00
65.0.87.60,8443,0,false,ORD,North America,Chicago,55,0.00
13.127.98.209,2095,0,false,ORD,North America,Chicago,55,0.00
13.127.98.209,8880,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,2095,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,2083,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,2082,0,false,ORD,North America,Chicago,55,0.00
13.200.242.141,8443,0,false,ORD,North America,Chicago,55,0.00
65.0.87.60,8880,0,false,ORD,North America,Chicago,55,0.00
15.207.114.100,2086,0,false,ORD,North America,Chicago,55,0.00
15.207.109.76,8880,0,false,ORD,North America,Chicago,55,0.00
13.127.98.209,2083,0,false,ORD,North America,Chicago,55,0.00
43.204.108.56,2053,0,false,ORD,North America,Chicago,55,0.00
52.66.244.40,2086,0,false,ORD,North America,Chicago,55,0.00
13.127.98.209,80,0,false,ORD,North America,Chicago,55,0.00
15.207.19.227,2053,0,false,ORD,North America,Chicago,55,0.00
52.66.245.189,8443,0,false,ORD,North America,Chicago,55,0.00
3.7.254.172,2087,0,false,ORD,North America,Chicago,55,0.00
13.201.186.213,8443,0,false,ORD,North America,Chicago,55,0.00
15.207.114.100,80,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,2096,0,false,ORD,North America,Chicago,55,0.00
13.200.242.141,8080,0,false,ORD,North America,Chicago,55,0.00
13.201.186.213,8080,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,2053,0,false,ORD,North America,Chicago,55,0.00
15.207.114.100,2087,0,false,ORD,North America,Chicago,55,0.00
15.207.114.100,8080,0,false,ORD,North America,Chicago,55,0.00
13.200.242.141,2082,0,false,ORD,North America,Chicago,55,0.00
52.66.237.70,8880,0,false,ORD,North America,Chicago,55,0.00
3.7.254.172,2053,0,false,ORD,North America,Chicago,55,0.00
65.1.3.139,2053,0,false,ORD,North America,Chicago,55,0.00
52.66.248.236,2086,0,false,ORD,North America,Chicago,55,0.00
52.66.244.40,2095,0,false,ORD,North America,Chicago,56,0.00
13.200.242.141,2052,0,false,ORD,North America,Chicago,56,0.00
65.0.87.60,2083,0,false,ORD,North America,Chicago,56,0.00
13.201.19.223,80,0,false,ORD,North America,Chicago,56,0.00
65.1.3.139,8443,0,false,ORD,North America,Chicago,56,0.00
13.201.134.21,2053,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,443,0,false,ORD,North America,Chicago,56,0.00
65.1.3.139,2082,0,false,ORD,North America,Chicago,56,0.00
52.66.248.236,80,0,false,ORD,North America,Chicago,56,0.00
65.1.3.139,8880,0,false,ORD,North America,Chicago,56,0.00
15.207.114.100,8443,0,false,ORD,North America,Chicago,56,0.00
15.207.114.100,2053,0,false,ORD,North America,Chicago,56,0.00
13.200.242.141,443,0,false,ORD,North America,Chicago,56,0.00
52.66.244.40,2083,0,false,ORD,North America,Chicago,56,0.00
13.201.19.223,2096,0,false,ORD,North America,Chicago,56,0.00
43.204.108.56,2086,0,false,ORD,North America,Chicago,56,0.00
52.66.248.236,2083,0,false,ORD,North America,Chicago,56,0.00
13.201.134.21,80,0,false,ORD,North America,Chicago,56,0.00
13.201.19.223,8443,0,false,ORD,North America,Chicago,56,0.00
43.204.108.56,8880,0,false,ORD,North America,Chicago,56,0.00
13.201.189.130,8443,0,false,ORD,North America,Chicago,56,0.00
15.207.109.76,80,0,false,ORD,North America,Chicago,56,0.00
13.201.189.130,80,0,false,ORD,North America,Chicago,56,0.00
13.201.19.223,2086,0,false,ORD,North America,Chicago,56,0.00
65.0.87.60,2082,0,false,ORD,North America,Chicago,56,0.00
52.66.237.70,2087,0,false,ORD,North America,Chicago,57,0.00
13.127.98.209,2087,0,false,ORD,North America,Chicago,57,0.00
13.201.186.213,2083,0,false,ORD,North America,Chicago,57,0.00
13.127.98.209,2052,0,false,ORD,North America,Chicago,57,0.00
13.127.98.209,8443,0,false,ORD,North America,Chicago,57,0.00
15.207.109.76,2095,0,false,ORD,North America,Chicago,57,0.00
52.66.237.70,2095,0,false,ORD,North America,Chicago,57,0.00
15.207.114.100,443,0,false,ORD,North America,Chicago,57,0.00
52.66.237.70,2086,0,false,ORD,North America,Chicago,57,0.00
13.201.134.21,443,0,false,ORD,North America,Chicago,57,0.00
3.110.135.55,2086,0,false,ORD,North America,Chicago,57,0.00
13.201.134.21,2087,0,false,ORD,North America,Chicago,57,0.00
65.0.11.187,2087,80,false,ORD,North America,Chicago,57,0.00
15.207.114.100,8880,0,false,ORD,North America,Chicago,57,0.00
15.207.19.227,2083,0,false,ORD,North America,Chicago,58,0.00
52.66.244.40,8443,0,false,ORD,North America,Chicago,58,0.00
3.7.254.172,8443,0,false,ORD,North America,Chicago,58,0.00
13.201.19.223,443,0,false,ORD,North America,Chicago,58,0.00
52.66.245.189,2086,0,false,ORD,North America,Chicago,58,0.00
52.66.244.40,2082,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,80,0,false,ORD,North America,Chicago,58,0.00
3.110.163.34,443,0,false,ORD,North America,Chicago,58,0.00
15.207.19.227,8080,0,false,ORD,North America,Chicago,58,0.00
13.200.242.141,80,0,false,ORD,North America,Chicago,58,0.00
3.110.50.34,2052,0,false,ORD,North America,Chicago,58,0.00
3.110.194.22,2087,0,false,ORD,North America,Chicago,59,0.00
13.200.242.141,8880,0,false,ORD,North America,Chicago,59,0.00
3.110.219.5,2083,0,false,ORD,North America,Chicago,59,0.00
15.207.109.76,443,0,false,ORD,North America,Chicago,60,0.00
15.207.109.76,2052,0,false,ORD,North America,Chicago,60,0.00
13.201.186.213,2087,0,false,ORD,North America,Chicago,60,0.00
13.200.242.141,2095,0,false,ORD,North America,Chicago,60,0.00
13.201.134.21,8080,0,false,ORD,North America,Chicago,60,0.00
3.110.176.176,8443,0,false,ORD,North America,Chicago,60,0.00
65.1.3.139,80,0,false,ORD,North America,Chicago,60,0.00
13.201.134.21,8880,0,false,ORD,North America,Chicago,61,0.00
3.110.163.34,2086,0,false,ORD,North America,Chicago,61,0.00
3.7.254.196,2087,0,false,ORD,North America,Chicago,61,0.00
52.66.244.40,2096,0,false,ORD,North America,Chicago,61,0.00
13.201.19.223,2083,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,2095,0,false,ORD,North America,Chicago,61,0.00
15.207.114.100,2096,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,2082,0,false,ORD,North America,Chicago,61,0.00
13.201.189.130,2096,0,false,ORD,North America,Chicago,61,0.00
13.201.19.223,8880,0,false,ORD,North America,Chicago,61,0.00
43.204.108.56,8080,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,443,0,false,ORD,North America,Chicago,61,0.00
52.66.244.40,2087,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,8880,0,false,ORD,North America,Chicago,61,0.00
15.207.109.76,2083,0,false,ORD,North America,Chicago,61,0.00
65.0.87.60,2053,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,2096,0,false,ORD,North America,Chicago,61,0.00
65.1.3.139,8080,0,false,ORD,North America,Chicago,61,0.00
52.66.245.189,443,0,false,ORD,North America,Chicago,61,0.00
13.127.98.209,443,0,false,ORD,North America,Chicago,61,0.00
52.66.237.70,8080,0,false,ORD,North America,Chicago,61,0.00
13.201.186.213,8880,0,false,ORD,North America,Chicago,61,0.00
15.207.109.76,8443,0,false,ORD,North America,Chicago,61,0.00
65.1.3.139,443,0,false,ORD,North America,Chicago,61,0.00
15.207.19.227,2095,0,false,ORD,North America,Chicago,61,0.00
65.0.87.60,2096,0,false,ORD,North America,Chicago,61,0.00
43.204.108.56,2082,0,false,ORD,North America,Chicago,61,0.00
15.207.109.76,2053,0,false,ORD,North America,Chicago,61,0.00
52.66.248.236,2053,0,false,ORD,North America,Chicago,61,0.00
65.0.87.60,443,0,false,ORD,North America,Chicago,61,0.00
15.207.114.100,2083,0,false,ORD,North America,Chicago,62,0.00
3.110.163.34,2096,0,false,ORD,North America,Chicago,62,0.00
3.110.163.34,2053,0,false,ORD,North America,Chicago,62,0.00
3.110.194.22,8080,0,false,ORD,North America,Chicago,62,0.00
13.201.189.130,8080,0,false,ORD,North America,Chicago,62,0.00
43.204.108.56,2087,0,false,ORD,North America,Chicago,62,0.00
15.207.19.227,2086,0,false,ORD,North America,Chicago,63,0.00
15.207.109.76,2096,0,false,ORD,North America,Chicago,63,0.00
3.110.176.176,8080,0,false,ORD,North America,Chicago,63,0.00
65.0.11.187,8080,0,false,ORD,North America,Chicago,63,0.00
15.207.109.76,2082,0,false,ORD,North America,Chicago,63,0.00
13.201.189.130,2082,0,false,ORD,North America,Chicago,63,0.00
65.0.87.60,2086,0,false,ORD,North America,Chicago,63,0.00
13.200.242.141,2053,0,false,ORD,North America,Chicago,63,0.00
3.110.158.157,2095,0,false,ORD,North America,Chicago,63,0.00
15.207.19.227,8880,0,false,ORD,North America,Chicago,63,0.00
13.201.134.21,8443,0,false,ORD,North America,Chicago,63,0.00
3.110.50.34,2082,80,false,ORD,North America,Chicago,64,0.00
3.110.163.34,2095,0,false,ORD,North America,Chicago,64,0.00
3.110.219.5,2086,0,false,ORD,North America,Chicago,64,0.00
3.110.158.157,2096,0,false,ORD,North America,Chicago,64,0.00
3.110.158.157,8880,0,false,ORD,North America,Chicago,65,0.00
3.110.176.176,443,0,false,ORD,North America,Chicago,66,0.00
3.110.158.157,2082,0,false,ORD,North America,Chicago,66,0.00
13.127.98.209,2086,0,false,ORD,North America,Chicago,67,0.00
3.110.219.5,2095,0,false,ORD,North America,Chicago,67,0.00
52.79.210.240,8880,0,false,ORD,North America,Chicago,67,0.00
3.110.219.5,2096,0,false,ORD,North America,Chicago,67,0.00
43.201.112.67,8080,0,false,ORD,North America,Chicago,67,0.00
3.39.228.91,2053,0,false,ORD,North America,Chicago,67,0.00
43.201.112.67,2095,0,false,ORD,North America,Chicago,67,0.00
3.110.219.5,2052,0,false,ORD,North America,Chicago,67,0.00
3.110.219.5,2053,0,false,ORD,North America,Chicago,67,0.00
18.181.84.244,2052,0,false,ORD,North America,Chicago,67,0.00
18.181.251.202,2052,0,false,ORD,North America,Chicago,67,0.00
54.95.236.96,2087,0,false,ORD,North America,Chicago,68,0.00
18.183.210.26,8443,0,false,ORD,North America,Chicago,68,0.00
54.95.236.96,8443,0,false,ORD,North America,Chicago,68,0.00
13.231.157.41,2053,0,false,ORD,North America,Chicago,68,0.00
