47.237.10.1,8443,8443,TRUE,SIN,Asia Pacific,Singapore,88,4.26
47.243.60.150,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,68,4.25
47.245.114.163,2053,2053,TRUE,SIN,Asia Pacific,Singapore,77,4.25
8.218.136.25,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,85,4.25
47.236.85.11,8443,443,TRUE,SIN,Asia Pacific,Singapore,53,4.25
47.245.102.52,2053,2053,TRUE,SIN,Asia Pacific,Singapore,34,4.25
47.76.37.57,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,46,4.24
47.236.170.225,8443,8443,TRUE,SIN,Asia Pacific,Singapore,46,4.24
8.222.193.65,443,443,TRUE,SIN,Asia Pacific,Singapore,34,4.23
47.243.67.28,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,96,4.23
47.245.126.151,2053,2053,TRUE,SIN,Asia Pacific,Singapore,26,4.21
8.219.86.200,2053,2053,TRUE,SIN,Asia Pacific,Singapore,104,4.19
47.238.235.163,443,443,TRUE,HKG,Asia Pacific,Hong Kong,47,4.19
8.222.215.228,2096,2096,TRUE,SIN,Asia Pacific,Singapore,457,4.19
8.219.52.156,443,443,TRUE,SIN,Asia Pacific,Singapore,29,4.17
8.222.162.45,2053,2053,TRUE,SIN,Asia Pacific,Singapore,122,4.17
47.245.126.151,2053,2053,TRUE,SIN,Asia Pacific,Singapore,45,4.17
47.243.107.148,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,76,4.16
8.217.232.246,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,81,4.15
8.219.170.232,443,443,TRUE,SIN,Asia Pacific,Singapore,86,4.15
47.238.235.163,443,443,TRUE,HKG,Asia Pacific,Hong Kong,90,4.15
8.219.106.156,443,443,TRUE,SIN,Asia Pacific,Singapore,103,4.14
47.243.107.148,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,84,4.14
8.219.77.222,2096,2096,TRUE,SIN,Asia Pacific,Singapore,91,4.14
8.219.111.147,2087,2087,TRUE,SIN,Asia Pacific,Singapore,86,4.14
47.236.145.85,2083,2083,TRUE,SIN,Asia Pacific,Singapore,54,4.14
47.242.59.216,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,96,4.13
47.236.17.193,8443,8443,TRUE,SIN,Asia Pacific,Singapore,40,4.13
47.245.118.70,2083,2083,TRUE,SIN,Asia Pacific,Singapore,43,4.12
47.236.125.62,2083,2083,TRUE,NRT,Asia Pacific,Tokyo,129,4.12
47.243.67.28,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,84,4.11
8.219.5.10,2083,2083,TRUE,SIN,Asia Pacific,Singapore,56,4.1
8.218.155.238,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,87,4.09
47.243.107.148,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,54,4.09
47.236.10.100,2053,2053,TRUE,SIN,Asia Pacific,Singapore,70,4.09
8.222.214.231,2053,2053,TRUE,SIN,Asia Pacific,Singapore,69,4.09
8.219.67.133,8443,8443,TRUE,SIN,Asia Pacific,Singapore,93,4.09
47.237.84.173,2083,2083,TRUE,SIN,Asia Pacific,Singapore,100,4.09
47.245.105.224,2083,2083,TRUE,SIN,Asia Pacific,Singapore,58,4.08
47.237.81.112,2087,2087,TRUE,SIN,Asia Pacific,Singapore,103,4.08
8.218.222.36,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,64,4.07
8.219.98.13,2087,2087,TRUE,SIN,Asia Pacific,Singapore,85,4.06
8.218.18.132,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,68,4.06
47.245.114.163,2096,2096,TRUE,SIN,Asia Pacific,Singapore,42,4.06
8.218.126.53,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,106,4.06
47.245.86.230,443,443,TRUE,SIN,Asia Pacific,Singapore,35,4.05
47.245.126.151,2087,2087,TRUE,SIN,Asia Pacific,Singapore,47,4.04
8.219.5.10,2087,2087,TRUE,SIN,Asia Pacific,Singapore,54,4.04
47.236.125.62,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,126,4.04
