IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.245.28.205,2096,0,false,ORD,North America,Chicago,323,0.00
13.244.95.226,80,0,false,ORD,North America,Chicago,334,0.00
13.244.109.218,80,0,false,ORD,North America,Chicago,326,0.00
13.246.227.72,2086,0,false,ORD,North America,Chicago,331,0.00
13.245.28.205,2087,0,false,ORD,North America,Chicago,344,0.00
13.247.98.217,8080,0,false,ORD,North America,Chicago,321,0.00
13.244.100.131,8080,0,false,ORD,North America,Chicago,318,0.00
13.246.228.202,2086,0,false,ORD,North America,Chicago,323,0.00
13.246.12.102,80,0,false,ORD,North America,Chicago,328,0.00
13.246.227.94,8443,0,false,ORD,North America,Chicago,319,0.00
13.244.60.225,443,0,false,ORD,North America,Chicago,323,0.00
13.245.28.205,8080,0,false,ORD,North America,Chicago,336,0.00
13.245.234.135,2087,0,false,ORD,North America,Chicago,327,0.00
13.245.8.22,8880,0,false,ORD,North America,Chicago,324,0.00
13.245.111.39,2096,0,false,ORD,North America,Chicago,334,0.00
13.246.38.255,8880,0,false,ORD,North America,Chicago,323,0.00
13.246.43.232,2053,0,false,ORD,North America,Chicago,320,0.00
13.246.11.204,2082,0,false,ORD,North America,Chicago,316,0.00
13.245.111.39,2082,0,false,ORD,North America,Chicago,348,0.00
13.244.104.215,2086,0,false,ORD,North America,Chicago,327,0.00
13.246.227.72,2082,0,false,ORD,North America,Chicago,332,0.00
13.244.112.142,443,0,false,ORD,North America,Chicago,319,0.00
13.245.28.205,2052,0,false,ORD,North America,Chicago,335,0.00
13.246.228.202,2095,0,false,ORD,North America,Chicago,320,0.00
13.246.221.196,2096,0,false,ORD,North America,Chicago,333,0.00
13.245.108.167,2053,0,false,ORD,North America,Chicago,334,0.00
13.245.8.22,443,0,false,ORD,North America,Chicago,319,0.00
13.244.109.218,2086,0,false,ORD,North America,Chicago,320,0.00
13.246.242.55,80,0,false,ORD,North America,Chicago,317,0.00
13.245.28.205,2095,0,false,ORD,North America,Chicago,339,0.00
13.245.108.167,80,0,false,ORD,North America,Chicago,336,0.00
13.244.109.218,8880,0,false,ORD,North America,Chicago,323,0.00
13.246.240.4,2086,0,false,ORD,North America,Chicago,323,0.00
13.247.67.27,2086,0,false,ORD,North America,Chicago,326,0.00
13.245.149.234,80,0,false,ORD,North America,Chicago,335,0.00
13.244.104.215,2052,0,false,ORD,North America,Chicago,320,0.00
13.244.100.131,2095,0,false,ORD,North America,Chicago,320,0.00
13.246.12.102,2086,0,false,ORD,North America,Chicago,328,0.00
13.244.98.139,2053,0,false,ORD,North America,Chicago,321,0.00
13.246.37.129,2095,0,false,ORD,North America,Chicago,321,0.00
13.245.108.167,2083,0,false,ORD,North America,Chicago,338,0.00
13.244.104.215,2096,0,false,ORD,North America,Chicago,328,0.00
13.247.101.216,2053,0,false,ORD,North America,Chicago,336,0.00
13.245.149.234,2096,0,false,ORD,North America,Chicago,343,0.00
13.247.67.27,8880,0,false,ORD,North America,Chicago,316,0.00
13.247.101.216,2082,0,false,ORD,North America,Chicago,322,0.00
13.245.108.167,2052,0,false,ORD,North America,Chicago,321,0.00
13.247.59.81,2086,0,false,ORD,North America,Chicago,334,0.00
13.245.108.167,2086,0,false,ORD,North America,Chicago,318,0.00
13.245.75.155,2086,0,false,ORD,North America,Chicago,318,0.00
13.247.67.27,2087,0,false,ORD,North America,Chicago,318,0.00
13.244.100.131,2082,0,false,ORD,North America,Chicago,322,0.00
13.245.234.135,8880,0,false,ORD,North America,Chicago,325,0.00
13.246.201.148,8880,0,false,ORD,North America,Chicago,317,0.00
13.246.221.196,2082,0,false,ORD,North America,Chicago,352,0.00
13.245.8.22,2083,0,false,ORD,North America,Chicago,317,0.00
13.247.62.71,80,0,false,ORD,North America,Chicago,326,0.00
13.245.234.135,2053,0,false,ORD,North America,Chicago,334,0.00
13.244.95.226,2053,0,false,ORD,North America,Chicago,341,0.00
13.247.59.81,2087,0,false,ORD,North America,Chicago,320,0.00
13.246.11.204,2086,0,false,ORD,North America,Chicago,334,0.00
13.247.101.216,2095,0,false,ORD,North America,Chicago,327,0.00
13.247.59.81,2096,0,false,ORD,North America,Chicago,326,0.00
13.246.12.102,443,0,false,ORD,North America,Chicago,316,0.00
13.245.234.135,2082,0,false,ORD,North America,Chicago,329,0.00
13.245.234.135,2052,0,false,ORD,North America,Chicago,337,0.00
13.246.201.148,8443,0,false,ORD,North America,Chicago,340,0.00
13.245.75.155,2082,0,false,ORD,North America,Chicago,324,0.00
13.246.11.204,8880,0,false,ORD,North America,Chicago,331,0.00
13.246.228.202,2096,0,false,ORD,North America,Chicago,342,0.00
13.247.98.217,2053,0,false,ORD,North America,Chicago,329,0.00
13.247.59.81,8880,0,false,ORD,North America,Chicago,325,0.00
13.245.82.83,2087,0,false,ORD,North America,Chicago,334,0.00
13.245.75.155,2096,0,false,ORD,North America,Chicago,326,0.00
13.247.67.27,8443,0,false,ORD,North America,Chicago,320,0.00
13.245.108.167,8443,0,false,ORD,North America,Chicago,334,0.00
13.246.37.129,80,0,false,ORD,North America,Chicago,327,0.00
13.246.12.102,8080,0,false,ORD,North America,Chicago,337,0.00
13.247.98.217,443,0,false,ORD,North America,Chicago,337,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,221,0.00
13.246.2.113,2082,0,false,ORD,North America,Chicago,321,0.00
13.246.43.232,2095,0,false,ORD,North America,Chicago,340,0.00
13.246.221.196,2086,0,false,ORD,North America,Chicago,326,0.00
13.246.240.4,2095,0,false,ORD,North America,Chicago,334,0.00
13.246.221.196,8880,0,false,ORD,North America,Chicago,324,0.00
13.244.112.142,8443,0,false,ORD,North America,Chicago,334,0.00
13.245.111.133,2086,0,false,ORD,North America,Chicago,332,0.00
13.244.104.215,2087,0,false,ORD,North America,Chicago,330,0.00
13.247.67.27,2082,0,false,ORD,North America,Chicago,331,0.00
13.247.62.71,2083,0,false,ORD,North America,Chicago,336,0.00
13.247.101.216,2086,0,false,ORD,North America,Chicago,326,0.00
